Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
"ツーリング用品","各種バイク用品",1,Yes,touringsupplies,,,,,,Yes,商品のみ,,No,,,更新するレイアウトがありません,
"ヘルメット","各種バイク用品",1,Yes,helmet,,,,,,Yes,商品のみ,,No,,,更新するレイアウトがありません,
"アパレル","各種バイク用品",1,Yes,apparel,,,,,,Yes,商品のみ,,No,,,更新するレイアウトがありません,
"バッグ","各種バイク用品",1,Yes,bag,,,,,,Yes,商品のみ,,No,,,更新するレイアウトがありません,
